Time (s),Channel 1 (VOLT),Channel 3 (VOLT)
-2.216667340000000666e-03,1.198492646399999861e+00,6.827890175999998951e-03
-2.202084007500000606e-03,1.185929830399999885e+00,6.928392671999999280e-03
-2.187500675000000547e-03,1.170854451199999868e+00,6.827890175999998951e-03
-2.172917342500000487e-03,1.165829324800000011e+00,6.827890175999998951e-03
-2.158334010000000427e-03,1.163316761599999971e+00,6.878141423999999116e-03
-2.143750677500000368e-03,1.155779071999999852e+00,6.878141423999999116e-03
-2.129167345000000308e-03,1.140703692799999835e+00,6.727387679999999488e-03
-2.114584012500000249e-03,1.130653439999999899e+00,6.777638927999999653e-03
-2.100000680000000189e-03,1.123115750400000001e+00,6.878141423999999116e-03
-2.085417347500000129e-03,1.120603187199999962e+00,6.878141423999999116e-03
-2.070834015000000070e-03,1.110552934400000025e+00,6.727387679999999488e-03
-2.056250682500000010e-03,1.097990118399999826e+00,6.827890175999998951e-03
-2.041667349999999950e-03,1.087939865599999889e+00,6.777638927999999653e-03
-2.027084017499999891e-03,1.082914739200000032e+00,6.677136431999999323e-03
-2.012500684999999831e-03,1.080402175999999992e+00,6.727387679999999488e-03
-1.997917352499999771e-03,1.070351923199999833e+00,6.827890175999998951e-03
-1.983334019999999712e-03,1.057789107199999856e+00,6.727387679999999488e-03
-1.968750687499999652e-03,1.047738854399999919e+00,6.677136431999999323e-03
-1.954167354999999592e-03,1.042713727999999840e+00,6.777638927999999653e-03
-1.939584022499999533e-03,1.040201164800000022e+00,6.677136431999999323e-03
-1.925000689999999473e-03,1.032663475199999903e+00,6.677136431999999323e-03
-1.910417357499999413e-03,1.017588095999999886e+00,6.576633935999998994e-03
-1.895834024999999354e-03,1.007537843199999950e+00,6.677136431999999323e-03
-1.881250692499999294e-03,1.005025279999999910e+00,6.425880191999999366e-03
-1.866667359999999234e-03,1.000000153599999830e+00,6.576633935999998994e-03
-1.852084027499999175e-03,9.924624639999999332e-01,6.526382687999999696e-03
-1.837500695000000850e-03,9.748745215999999880e-01,6.425880191999999366e-03
-1.822917362500000790e-03,9.673368319999999798e-01,6.476131439999999531e-03
-1.808334030000000731e-03,9.648242687999999401e-01,6.526382687999999696e-03
-1.793750697500000671e-03,9.597991423999999716e-01,6.425880191999999366e-03
-1.779167365000000611e-03,9.522614527999999634e-01,6.375628943999999201e-03
-1.764584032500000552e-03,9.396986367999999867e-01,6.275126447999999739e-03
-1.750000700000000492e-03,9.271358207999998990e-01,6.476131439999999531e-03
-1.735417367500000432e-03,9.221106943999999306e-01,6.325377695999999036e-03
-1.720834035000000373e-03,9.195981311999998908e-01,6.375628943999999201e-03
-1.706250702500000313e-03,9.120604415999999937e-01,6.526382687999999696e-03
-1.691667370000000253e-03,8.944724991999999375e-01,6.677136431999999323e-03
-1.677084037500000194e-03,8.844222464000000006e-01,6.476131439999999531e-03
-1.662500705000000134e-03,8.819096831999999608e-01,6.526382687999999696e-03
-1.647917372500000074e-03,8.768845567999999924e-01,6.576633935999998994e-03
-1.633334040000000015e-03,8.643217407999999047e-01,6.476131439999999531e-03
-1.618750707499999955e-03,8.492463615999999993e-01,6.476131439999999531e-03
-1.604167374999999895e-03,8.442212351999999198e-01,6.275126447999999739e-03
-1.589584042499999836e-03,8.417086719999999911e-01,6.526382687999999696e-03
-1.575000709999999776e-03,8.366835455999999116e-01,6.375628943999999201e-03
-1.560417377499999717e-03,8.266332927999999747e-01,6.526382687999999696e-03
-1.545834044999999657e-03,8.115579135999999583e-01,6.476131439999999531e-03
-1.531250712499999597e-03,8.040202239999999501e-01,6.425880191999999366e-03
-1.516667379999999538e-03,8.015076607999999103e-01,6.275126447999999739e-03
-1.502084047499999478e-03,7.989950975999999816e-01,6.325377695999999036e-03
-1.487500714999999418e-03,7.864322816000000049e-01,6.476131439999999531e-03
-1.472917382499999359e-03,7.738694655999999172e-01,6.275126447999999739e-03
-1.458334049999999299e-03,7.638192127999999803e-01,6.275126447999999739e-03
-1.443750717499999239e-03,7.638192127999999803e-01,6.325377695999999036e-03
-1.429167384999999180e-03,7.587940863999999008e-01,6.124372703999999244e-03
-1.414584052499999120e-03,7.487438335999999639e-01,6.275126447999999739e-03
-1.400000720000000795e-03,7.336684543999999475e-01,6.124372703999999244e-03
-1.385417387500000735e-03,7.236182015999998995e-01,6.325377695999999036e-03
-1.370834055000000676e-03,7.211056383999999708e-01,6.275126447999999739e-03
-1.356250722500000616e-03,7.185930751999999311e-01,6.074121455999999079e-03
-1.341667390000000556e-03,7.110553855999999229e-01,6.074121455999999079e-03
-1.327084057500000497e-03,6.909548799999999380e-01,6.124372703999999244e-03
-1.312500725000000437e-03,6.834171903999999298e-01,6.023870207999999782e-03
-1.297917392500000378e-03,6.809046272000000011e-01,6.275126447999999739e-03
-1.283334060000000318e-03,6.758795007999999216e-01,6.425880191999999366e-03
-1.268750727500000258e-03,6.608041215999999052e-01,6.124372703999999244e-03
-1.254167395000000199e-03,6.507538687999999683e-01,6.275126447999999739e-03
-1.239584062500000139e-03,6.432161791999999600e-01,6.074121455999999079e-03
-1.225000730000000079e-03,6.407036159999999203e-01,6.174623951999999409e-03
-1.210417397500000020e-03,6.356784895999999518e-01,6.275126447999999739e-03
-1.195834064999999960e-03,6.231156735999999752e-01,6.224875199999999574e-03
-1.181250732499999900e-03,6.105528575999999985e-01,6.224875199999999574e-03
-1.166667399999999841e-03,6.030151679999999903e-01,6.124372703999999244e-03
-1.152084067499999781e-03,6.005026047999999506e-01,6.174623951999999409e-03
-1.137500734999999721e-03,5.954774783999999821e-01,6.174623951999999409e-03
-1.122917402499999662e-03,5.829146624000000054e-01,6.174623951999999409e-03
-1.108334069999999602e-03,5.703518463999999177e-01,6.275126447999999739e-03
-1.093750737499999542e-03,5.628141568000000206e-01,6.023870207999999782e-03
-1.079167404999999483e-03,5.603015935999999808e-01,6.174623951999999409e-03
-1.064584072499999423e-03,5.527639039999999726e-01,6.224875199999999574e-03
-1.050000739999999363e-03,5.402010879999999959e-01,6.074121455999999079e-03
-1.035417407499999304e-03,5.276382720000000193e-01,6.174623951999999409e-03
-1.020834074999999244e-03,5.226131455999999398e-01,6.074121455999999079e-03
-1.006250742499999185e-03,5.201005824000000111e-01,6.224875199999999574e-03
-9.916674099999991249e-04,5.125628928000000029e-01,5.873116463999999287e-03
-9.770840775000007999e-04,5.000000767999999152e-01,5.923367711999999452e-03
-9.625007450000007403e-04,4.874372607999999940e-01,6.023870207999999782e-03
-9.479174125000006806e-04,4.824121343999999700e-01,6.124372703999999244e-03
-9.333340800000006210e-04,4.798995711999999858e-01,5.973618959999999617e-03
-9.187507475000005613e-04,4.748744447999999618e-01,6.074121455999999079e-03
-9.041674150000005017e-04,4.648241919999999694e-01,6.074121455999999079e-03
-8.895840825000004420e-04,4.472362495999999688e-01,6.224875199999999574e-03
-8.750007500000003824e-04,4.422111232000000003e-01,6.023870207999999782e-03
-8.604174175000003227e-04,4.396985599999999605e-01,6.174623951999999409e-03
-8.458340850000002631e-04,4.296483071999999681e-01,5.923367711999999452e-03
-8.312507525000002034e-04,4.145729279999999517e-01,6.074121455999999079e-03
-8.166674200000001438e-04,4.045226751999999593e-01,5.973618959999999617e-03
-8.020840875000000841e-04,3.994975487999999908e-01,5.923367711999999452e-03
-7.875007550000000245e-04,3.969849855999999511e-01,5.873116463999999287e-03
-7.729174224999999648e-04,3.869347327999999586e-01,5.923367711999999452e-03
-7.583340899999999052e-04,3.718593535999999977e-01,5.822865215999999122e-03
-7.437507574999998455e-04,3.643216639999999895e-01,6.023870207999999782e-03
-7.291674249999997859e-04,3.592965375999999655e-01,5.923367711999999452e-03
-7.145840924999997262e-04,3.592965375999999655e-01,5.873116463999999287e-03
-7.000007599999996666e-04,3.492462847999999731e-01,5.722362719999999660e-03
-6.854174274999996069e-04,3.341709055999999567e-01,5.621860223999999330e-03
-6.708340949999995473e-04,3.241206527999999643e-01,5.672111471999999495e-03
-6.562507624999994876e-04,3.190955263999999958e-01,5.521357727999999000e-03
-6.416674299999994280e-04,3.190955263999999958e-01,5.672111471999999495e-03
-6.270840974999993683e-04,3.090452736000000034e-01,5.621860223999999330e-03
-6.125007649999993087e-04,2.939698943999999869e-01,5.571608975999999165e-03
-5.979174324999992490e-04,2.839196415999999945e-01,5.672111471999999495e-03
-5.833340999999991894e-04,2.814070784000000103e-01,5.672111471999999495e-03
-5.687507674999991297e-04,2.763819519999999863e-01,5.621860223999999330e-03
-5.541674350000008048e-04,2.638191360000000096e-01,5.571608975999999165e-03
-5.395841025000007452e-04,2.537688831999999617e-01,5.571608975999999165e-03
-5.250007700000006855e-04,2.412060671999999850e-01,5.471106479999999703e-03
-5.104174375000006258e-04,2.386935039999999730e-01,5.370603983999999373e-03
-4.958341050000005662e-04,2.361809407999999888e-01,5.672111471999999495e-03
-4.812507725000005065e-04,2.261306879999999964e-01,5.471106479999999703e-03
-4.666674400000004469e-04,2.110553087999999800e-01,5.471106479999999703e-03
-4.520841075000003872e-04,2.035176191999999995e-01,5.471106479999999703e-03
-4.375007750000003276e-04,1.984924927999999755e-01,5.420855231999999538e-03
-4.229174425000002679e-04,1.959799295999999913e-01,5.320352735999999208e-03
-4.083341100000002083e-04,1.859296767999999989e-01,5.420855231999999538e-03
-3.937507775000001486e-04,1.708542975999999824e-01,5.521357727999999000e-03
-3.791674450000000890e-04,1.608040447999999900e-01,5.471106479999999703e-03
-3.645841125000000293e-04,1.582914815999999780e-01,5.471106479999999703e-03
-3.500007799999999697e-04,1.557789183999999938e-01,5.571608975999999165e-03
-3.354174474999999100e-04,1.381909759999999932e-01,5.420855231999999538e-03
-3.208341149999998504e-04,1.281407232000000007e-01,5.370603983999999373e-03
-3.062507824999997907e-04,1.206030335999999925e-01,5.370603983999999373e-03
-2.916674499999997311e-04,1.180904703999999944e-01,5.571608975999999165e-03
-2.770841174999996714e-04,1.130653439999999982e-01,5.471106479999999703e-03
-2.625007849999996118e-04,1.005025279999999938e-01,5.471106479999999703e-03
-2.479174524999995521e-04,9.045227519999998744e-02,5.471106479999999703e-03
-2.333341199999994925e-04,8.040202239999999501e-02,5.420855231999999538e-03
-2.187507874999994328e-04,8.040202239999999501e-02,5.420855231999999538e-03
-2.041674549999993732e-04,7.537689599999999879e-02,5.420855231999999538e-03
-1.895841224999993135e-04,6.532664319999999247e-02,5.420855231999999538e-03
-1.750007899999992539e-04,5.025126399999999688e-02,5.471106479999999703e-03
-1.604174574999991942e-04,4.271357439999999561e-02,5.370603983999999373e-03
-1.458341249999991346e-04,3.768844799999999939e-02,5.270101487999999043e-03
-1.312507925000008097e-04,3.517588480000000128e-02,5.069096495999999251e-03
-1.166674600000007500e-04,2.512563199999999844e-02,5.169598991999999581e-03
-1.020841275000006904e-04,1.256281599999999922e-02,5.320352735999999208e-03
-8.750079500000063071e-05,0.000000000000000000e+00,4.968593999999998921e-03
-7.291746250000057106e-05,-2.512563199999999844e-03,5.169598991999999581e-03
-5.833413000000051141e-05,-5.025126399999999688e-03,5.270101487999999043e-03
-4.375079750000045176e-05,-1.256281599999999922e-02,5.320352735999999208e-03
-2.916746500000039211e-05,-3.015075839999999813e-02,5.270101487999999043e-03
-1.458413250000033246e-05,-3.768844799999999939e-02,5.320352735999999208e-03
-8.000000002728047122e-10,-4.020101119999999750e-02,5.069096495999999251e-03
1.458253249999978685e-05,-4.271357439999999561e-02,5.270101487999999043e-03
2.916586499999984650e-05,-5.025126399999999688e-02,5.169598991999999581e-03
4.374919749999990615e-05,-6.532664319999999247e-02,4.717337759999998964e-03
5.833252999999996580e-05,-7.537689599999999879e-02,4.868091503999999459e-03
7.291586250000002545e-05,-8.040202239999999501e-02,4.968593999999998921e-03
8.749919500000008510e-05,-8.291458559999999312e-02,5.018845247999999086e-03
1.020825275000001447e-04,-8.793971199999998933e-02,4.868091503999999459e-03
1.166658600000002044e-04,-1.055276543999999900e-01,4.817840255999999294e-03
1.312491925000002641e-04,-1.155779071999999963e-01,4.918342751999999624e-03
1.458325250000003237e-04,-1.206030335999999925e-01,4.918342751999999624e-03
1.604158575000003834e-04,-1.231155967999999906e-01,4.968593999999998921e-03
1.749991900000004430e-04,-1.281407232000000007e-01,4.918342751999999624e-03
1.895825225000005027e-04,-1.381909759999999932e-01,4.717337759999998964e-03
2.041658550000005623e-04,-1.507537919999999976e-01,4.667086511999999666e-03
2.187491875000006220e-04,-1.608040447999999900e-01,4.717337759999998964e-03
2.333325200000006816e-04,-1.633166080000000020e-01,4.566584015999999337e-03
2.479158525000007413e-04,-1.683417343999999982e-01,4.616835263999999502e-03
2.624991850000008009e-04,-1.809045503999999749e-01,4.566584015999999337e-03
2.770825175000008606e-04,-1.934673663999999793e-01,4.616835263999999502e-03
